Comment,Positive,Neutral,Negative,Sentiment
👏👏👏,0.9993628859519958,0.00010981045488733798,0.0005273420829325914,positive
Alamatnya dimn ini?,0.00027886786847375333,0.00046091421972960234,0.9992602467536926,negative
Rekomend & enak 👍,0.9997863173484802,6.265100091695786e-05,0.00015104356862138957,positive
Parkiran mobil aman tp ko?,0.002957704709842801,0.014327618293464184,0.9827147126197815,negative
Kok semua enakk ketokee.. Yummmi,0.9595937132835388,0.0008898677187971771,0.03951641544699669,positive
"Terdebeeest ini,langganan 🤤🤤🤤",0.004691864363849163,0.9945520758628845,0.0007560478989034891,neutral
"ketok enak kabeh , pen cobain 🤤",0.999460756778717,0.00025813441607169807,0.00028103424119763076,positive
Alhamdulillah akhirnya buka dr siang juga....🔥❤️❤️,0.998127281665802,0.0012043213937431574,0.0006682869279757142,positive
"Udah sempet nyobain ko, fresh bgt salad e",0.9995046854019165,0.00018084885959979147,0.00031444765045307577,positive
Enakjiii 🤤,0.1412801444530487,0.001227006665430963,0.8574928045272827,negative
👍,0.9996160268783569,8.293566497741267e-05,0.0003009515639860183,positive
jd pgn mkn salad😮,0.027225609868764877,0.9701110124588013,0.0026634582318365574,neutral
Rekomend banget si ini😍,0.999703586101532,6.361341365845874e-05,0.00023274389968719333,positive
Wahhh makanan sehat niii,0.9986138343811035,0.00011079788237111643,0.0012752825859934092,positive
Wahhh sehat tapi enak kalo ini,0.9973424077033997,0.0001855212904047221,0.002472084481269121,positive
Ini enakkk banget dan recomend 🫶🏻🫶🏻🫶🏻🫶🏻🥴🥴,0.9997619986534119,8.433335460722446e-05,0.00015362896374426782,positive
Mantap.sueger saladnya 🔥🔥 @naniksuryanti2020,0.9994931221008301,0.0002397823700448498,0.0002671687107067555,positive
Langganan iniii koo,0.558219313621521,0.008107218891382217,0.43367353081703186,positive
Yummy ko😍😍😍😍,0.9996757507324219,7.944671233417466e-05,0.0002448256127536297,positive
Udah tau lama dari awal2 buka ko. Enak emang saladnya. Tp beberapa bulan terakhir belum kesana lagi.,0.9917599558830261,0.0007130048470571637,0.007527066394686699,positive
Wehhh enuk,0.0027698425110429525,0.00012804556172341108,0.9971020817756653,negative
Enaakk beudddddd dn sehatt,0.013409246690571308,0.9846534132957458,0.001937362365424633,neutral
Enakkkj,0.002215817803516984,0.00010442469647387043,0.9976797699928284,negative
Mwantaabbbbb,0.0009817398386076093,0.004767619539052248,0.9942506551742554,negative
Favoritttt,0.02934766747057438,0.000578648061491549,0.9700736403465271,negative
sukohardjo manakah?,0.0006075292476452887,0.9966996312141418,0.0026928922161459923,neutral
Dulu pernah kesini tp bukanya sore sedangkan klo sore suami ga bisa jadi kita cuma duduk bentar doank disitu wkkwkkk.. Btw seladanya mereka tanam sendiri di pekarangan rumah,0.13764725625514984,0.7427749633789062,0.11957771331071854,neutral
"Langganan ku ini, the besttt..",0.9987581968307495,0.00038312753895297647,0.0008587049087509513,positive
"Dah Beberapa kali ke Sana Ko, Cmn Wkt itu buka'nya sore jam 17.00 Skrg Kt'nya udh buka dr Siang. Next Gas Neh Ko... Soale Terfavo Byaat Hehehe...",0.997718095779419,0.0008648011717014015,0.0014171028742566705,positive
Recumended🙌,0.999057948589325,9.370112093165517e-05,0.000848298252094537,positive
"Sayang iklan saja, share loc ku datangi",0.00530913146212697,0.5762214064598083,0.41846948862075806,neutral
Alamat nya mana,0.01794262044131756,0.011501838453114033,0.9705556035041809,negative
Aku udah pernah kesini sama ayang 😍,0.9792754650115967,0.014623451977968216,0.0061011118814349174,positive
udah bukak pagi ya kak sekarang..?😍,0.0001670498022576794,0.0001339995942544192,0.9996989965438843,negative
Ini fav aku,0.9965565204620361,0.0006335745565593243,0.0028099864721298218,positive
Seger seger banget menu nya,0.9995105266571045,7.807144720572978e-05,0.00041139021050184965,positive
Ini kenyang bngt wlo sayur,0.9990096092224121,0.00018804903083946556,0.0008023317786864936,positive
Seger ijoo 💚💚💚,0.9991304278373718,0.0002345773100387305,0.0006350885960273445,positive
Yummy,0.9995859265327454,9.824429434956983e-05,0.00031588863930664957,positive
Ki ancen tob pol,0.00014870874292682856,0.0004400544858071953,0.9994112253189087,negative
Wenak 😍😍,0.9996815919876099,6.576209125341848e-05,0.0002526372263673693,positive
Beneran enak sih 🔥🔥,0.9996453523635864,7.731041841907427e-05,0.00027733013848774135,positive
Kesini yok 😢 @zilizi16,0.0001098951615858823,0.0002188423095503822,0.999671220779419,negative
Uenak nya,0.9995272159576416,7.984108378877863e-05,0.0003929582017008215,positive
Sehat teninnn cocok buat diet,0.9995927214622498,0.00013338320422917604,0.00027396975201554596,positive
Cocok nih 😍,0.9994655251502991,6.626747199334204e-05,0.0004682238504756242,positive
"Sdh Beberapa Kali ke Sana, Cmn Sayang'nya buka'nya Sore. Berharap Buka dr Siang 🤭",0.990764856338501,0.0055645788088440895,0.0036705194506794214,positive
"Menunya Enak2 dan semua fresh🫶🏻, aku sudah pernah nyoba.. yang punya bocil ada playgroundnya juga❤️",0.9997009038925171,0.00016249943291768432,0.00013661813864018768,positive
Wah penasaran pol save dlu,0.00042425160063430667,0.0007556016207672656,0.9988201260566711,negative
spill harga2 kk,0.013539997860789299,0.9838400483131409,0.0026199640706181526,neutral
Enak semuanya🤤,0.0873694121837616,0.0015039140125736594,0.9111267328262329,negative
The bestt...udh pernah nyobain❤️,0.9996775388717651,0.00017905743152368814,0.0001434028527000919,positive
Salad nya best,0.9977474808692932,0.0009143528295680881,0.0013382375473156571,positive
Ngiler,0.0011015119962394238,0.00013478929759003222,0.9987636804580688,negative
Baguss banget tempatnyaaa🔥,0.9998123049736023,6.0629819927271456e-05,0.00012711081944871694,positive
Enak 😍,0.022701093927025795,0.00028504300280474126,0.977013885974884,negative
Syahduu kak 😍🍃,0.999657392501831,0.00010502988152438775,0.0002375817857682705,positive
Kepoooooo deh,0.9982919096946716,0.0002811117155943066,0.0014269417151808739,positive
Ini enakkk bgt,0.9993979930877686,7.400140748359263e-05,0.0005279755569063127,positive
Ketok enak ki🔥🔥,0.9996830224990845,8.176419942174107e-05,0.00023527626763097942,positive
"Pernah kesini, porsinya uakeh pol",0.9109567403793335,0.08213641494512558,0.0069068362936377525,positive
Baru tau ada resto salad,0.9937706589698792,0.0004942028899677098,0.005735043901950121,positive
Wahhh mantapppp🔥😍,0.9995892643928528,9.311491885455325e-05,0.00031771662179380655,positive
Endesss ini mah......rasa yg patut dicobaaa,0.9995149374008179,0.00016290113853756338,0.00032214983366429806,positive
"tanya dulu ya, misal viral terus ramai, jaminan kualitas rasanya sama ndk ya? yg sudah2 sih viral terus asal aja masaknya, jadi cm numpang lewat saja bukan menjadi langganan dikemudian hari",0.0005174478283151984,0.000268113479251042,0.9992144107818604,negative
Owner nya baik 😊,0.9972320199012756,0.0003954908752348274,0.002372440416365862,positive
"Sepertinya mak nyus, tapi sayang rame nya gak karuan ya ? mikir2 lagi berarti 😅",0.0028000411111861467,0.00027632989804260433,0.9969236254692078,negative
50 meter dari rumah orang tuaku ini😮,0.0009946669451892376,0.9983310103416443,0.0006742767291143537,neutral
Recommended 👍👍,0.9996436834335327,7.865501538617536e-05,0.0002776102046482265,positive
Dimana bro lokasi nya gua tertarik ni,0.922332763671875,0.061141710728406906,0.01652558147907257,positive
Info kak @sutarto_dwis,0.0005251931142993271,0.9993512034416199,0.00012361280096229166,neutral
Mampir ke @bakmi_pakbagongbaturan .itu jg teras rumah di sulap jd warung bakmi🔥,0.0032798219472169876,0.9964218139648438,0.0002984150778502226,neutral
"Worth it bgt ini. Porsinya buat saya yg lagi pengen bulky, pas bgt porsinya. Nasinya ga terlalu byk, lebih banyak lauknya ketimbang nasinya. Harga sesuai bgtlah pokoknya. TOP!! @sebelasrasa",0.9996428489685059,0.00012086948845535517,0.00023633387172594666,positive
Ning ndesomu iki @tesalonika_marta,0.00028863910119980574,0.9962115287780762,0.003499937243759632,neutral
Suara,0.00837093684822321,0.0009508482180535793,0.9906781911849976,negative
Wajib cobaaaa🙌,0.999573290348053,8.572303340770304e-05,0.00034107911051250994,positive
Kok enakkk keliatannyaaaa😍,0.9968984127044678,8.646974310977384e-05,0.003015101421624422,positive
Bikin ngiler makanannya😍,0.99314945936203,0.0006800880073569715,0.006170449312776327,positive
woww makanannya enak2 nih 😍,0.9997913241386414,6.753793422831222e-05,0.00014116187230683863,positive
enaaaak nihh😍,0.9974203109741211,0.0002270324621349573,0.0023526616860181093,positive
Mauu cobaaaa🤤🤤,0.999685525894165,8.161886944435537e-05,0.00023281450557988137,positive
Aaa salpok porsinyaa bisa buat sharing nihh,0.9970924854278564,0.0015215505845844746,0.0013859577011317015,positive
