Comment,Positive,Neutral,Negative,Sentiment
👏👏👏,0.9993628859519958,0.00010981045488733798,0.0005273420829325914,positive
@nila_riska rahasia😂😂😂,0.000522672722581774,0.00024298173957504332,0.9992343187332153,negative
@jonyrahardja kamsia ko,0.013217047788202763,0.02082883007824421,0.965954065322876,negative
@nila_riska enak bebeknya😂😂😂,0.994065523147583,0.0002667314256541431,0.005667694378644228,positive
Alamatnya dimn ini?,0.00027886786847375333,0.00046091421972960234,0.9992602467536926,negative
@ambarinis9 opo iyoo say 🤭🤭,0.011859080754220486,0.9858874678611755,0.002253418555483222,neutral
@krist_ajjaahhh ho oh👏👏👏enak rasanya,0.9997007846832275,0.0001040491260937415,0.00019520042405929416,positive
@ambarinis9 👍👍,0.9995588660240173,0.0002090874477289617,0.0002319940394954756,positive
Rekomend & enak 👍,0.9997863173484802,6.265100091695786e-05,0.00015104356862138957,positive
@mas_andhy23 best🔥,0.9795839190483093,0.019641954451799393,0.0007741187000647187,positive
Parkiran mobil aman tp ko?,0.002957704709842801,0.014327618293464184,0.9827147126197815,negative
@liburanpertama aman pol🙌,0.9946854114532471,0.004910293035209179,0.0004042227810714394,positive
Kok semua enakk ketokee.. Yummmi,0.9595937132835388,0.0008898677187971771,0.03951641544699669,positive
@dhenok2323 jos tur sehat😍,0.6229028701782227,0.3033316433429718,0.07376550883054733,positive
"Terdebeeest ini,langganan 🤤🤤🤤",0.004691864363849163,0.9945520758628845,0.0007560478989034891,neutral
@punya_dory_ceria wenak pol,0.10910815000534058,0.8220986127853394,0.06879322975873947,neutral
@jonyrahardja iyo ko...🤤🤤🤤,0.01745886541903019,0.9167026281356812,0.06583858281373978,neutral
"ketok enak kabeh , pen cobain 🤤",0.999460756778717,0.00025813441607169807,0.00028103424119763076,positive
@agustinaisme enak tur sehat,0.9997988343238831,8.871793397702277e-05,0.0001124829868786037,positive
Alhamdulillah akhirnya buka dr siang juga....🔥❤️❤️,0.998127281665802,0.0012043213937431574,0.0006682869279757142,positive
@pusparisti finally yg ditunggu2 ya,0.00040380010614171624,0.9993773102760315,0.00021898795966990292,neutral
@pusparisti mantap 😍 bersyukur banget.. otw order nih kalo siang buka🔥,0.9990004897117615,0.0004679109260905534,0.000531633326318115,positive
"Udah sempet nyobain ko, fresh bgt salad e",0.9995046854019165,0.00018084885959979147,0.00031444765045307577,positive
@kokoatmadja enak beud ya,0.9992594122886658,0.0003678101929835975,0.0003727442817762494,positive
Enakjiii 🤤,0.1412801444530487,0.001227006665430963,0.8574928045272827,negative
@madebyandni enakk jii,0.9997150301933289,0.0001202975690830499,0.0001647258031880483,positive
👍,0.9996160268783569,8.293566497741267e-05,0.0003009515639860183,positive
@yauwkwokdjiang 👏🔥,0.01355702430009842,0.9850730299949646,0.0013699365081265569,neutral
jd pgn mkn salad😮,0.027225609868764877,0.9701110124588013,0.0026634582318365574,neutral
